userID,fullName,dob,ssn,tel,gender,bloodType,allergies
45492639,Rolanda Beckel,1955-08-12,517-17-1951,(327) 379-5209,f,O-,
45492590,Leo Bester,1990-01-05,476-52-5526,(496) 651-8563,m,AB-,"Peanuts, NSAIDs, Latex, Eggs, Lactose, Tree-nuts"
45492617,Shemeka Hastie,1975-09-26,536-02-8277,(680) 903-1861,f,AB+,
45492586,Elliott Depaola,1923-07-21,032-01-5837,(235) 204-8549,m,O+,Dog
45492620,Glennie Starck,1950-03-14,510-42-4020,(774) 843-4890,f,AB-,"Seasonal, NSAIDs"
45492594,Karey Parham,1944-09-05,282-15-9128,(312) 490-7737,f,O-,"Cat, Lactose"
45492618,Ulysses Replogle,1986-07-06,526-84-2496,(265) 551-2932,m,AB+,Seasonal
45492619,Sean Shott,1979-05-15,637-29-0542,(961) 780-2693,m,AB-,Strawberries
45492637,Lorene Aldape,1994-01-17,474-33-6297,(528) 318-6422,f,AB-,"Strawberries, Eggs, Nuts, Lactose, Soy, NSAIDs, Shellfish, Cat, Tree-nuts"
45492622,Florida Bufkin,1973-05-14,395-50-0003,(881) 524-2655,f,O+,"Tree-nuts, Peanuts"
45492627,Antonette Morrell,1935-09-09,590-05-5108,(889) 303-3429,f,AB-,
45492602,Erasmo Hein,1990-10-31,411-29-6566,(997) 940-4268,m,AB-,Seasonal
45492578,Shad Mceachern,1932-06-19,136-19-5452,(559) 450-7631,m,AB-,
45492555,Pura Goode,1961-08-04,650-12-0957,(547) 795-2974,f,B+,"Lactose, Cat, Dog, Shellfish"
45492597,Ben Sprow,1982-12-24,322-70-0698,(618) 700-1265,m,A-,"Peanuts, Lactose, Dog, Soy"
45492554,Angelita Mims,1936-12-24,234-05-8134,(381) 547-6034,f,B+,"Nuts, Gluten, Soy, Lactose, NSAIDs"
45492567,Shandra Waldron,1978-11-07,235-32-9974,(320) 950-2154,f,B-,NSAIDs
45492605,Trent Witherite,1984-02-24,505-18-7226,(928) 855-5151,m,A-,Dog
45492614,Lucio Stocking,1924-02-14,575-39-3456,(621) 776-5442,m,B-,"Gluten, Shellfish, Cat, Seasonal, NSAIDs, Soy, Tree-nuts, Latex, Peanuts, Eggs"
45492593,Jeromy Chee,1975-11-10,026-32-8462,(711) 615-6603,m,AB-,Soy
45492625,Tawna Sinn,1982-06-05,514-50-7739,(246) 229-3088,f,B+,"Nuts, Strawberries, Seasonal"
45492601,Mark Sierra,1964-08-16,405-35-5686,(319) 291-0853,m,O-,Dog
45492568,Federico Rosenbalm,1987-12-27,531-50-6922,(768) 653-6478,m,AB+,"Shellfish, Latex, Nuts"
45492609,Earlean Rocamora,1999-09-03,540-55-5075,(359) 444-0050,f,AB-,"Latex, Lactose, Tree-nuts, Peanuts, Nuts, NSAIDs, Soy"
45492636,Ike Borquez,1954-03-05,680-94-9951,(614) 609-5300,m,B-,Strawberries
45492629,Sulema Brewington,1953-05-04,644-82-1893,(506) 702-1758,f,AB-,Soy
45492566,Elane Mcdowell,1939-08-03,679-05-9294,(500) 656-4719,f,AB-,"Peanuts, Strawberries"
45492643,Roland Wuensche,1936-05-21,574-39-4219,(282) 564-7113,m,B-,NSAIDs
45492603,Scottie Hammontree,1961-06-15,524-28-0814,(461) 948-2384,m,AB-,"NSAIDs, Nuts, Soy, Eggs, Seasonal, Lactose"
45492572,Claretta Klock,1996-04-08,390-08-7821,(305) 827-9955,f,AB+,
45492574,Rana Popp,2000-05-17,672-34-7849,(212) 487-8616,f,B+,"Soy, Cat"
45492613,Clarita Iser,1966-05-06,195-03-2351,(843) 372-1325,f,O-,"Eggs, Soy"
45492606,Keiko Heal,1981-12-17,630-31-2378,(295) 296-1031,f,O-,Seasonal
45492565,Roger Coakley,1940-02-01,606-57-4962,(209) 796-9540,m,B-,"Dog, Seasonal"
45492560,Wilfred Grier,1984-05-26,533-55-9007,(816) 529-1138,m,O+,
45492632,Benedict Alvear,1923-12-19,505-21-8761,(803) 487-8386,m,O+,Peanuts
45492583,Jean Macek,1975-02-25,511-52-0743,(231) 771-3419,m,A-,
45492621,Leanna Manahan,1984-01-11,282-88-8900,(869) 327-1609,f,AB-,Strawberries
45492646,Malorie Lastra,1940-07-21,524-61-9499,(426) 856-4556,f,A+,Dog
45492628,Fidela Belford,1932-11-13,330-14-1124,(357) 336-6520,f,O+,
45492595,Nolan Barry,1940-11-29,512-86-3807,(330) 789-2447,m,O+,Strawberries
45492581,Jared Zalens,1973-03-01,393-38-8373,(860) 392-8905,m,B-,Cat
45492631,Gaynelle Rice,1926-08-17,657-14-1390,(227) 404-2232,f,A-,Cat
45492580,Glenna Coward,1989-08-25,009-16-3205,(619) 888-6336,f,B-,NSAIDs
45492598,Cathryn Sabo,1970-01-19,503-54-7169,(606) 706-6225,f,O+,
45492611,Efren Havens,1972-05-10,355-80-9197,(371) 916-0402,m,A+,Cat
45492561,Daron Wrench,1987-10-07,676-12-8296,(249) 222-2210,m,AB-,Strawberries
45492587,Albert Alves,1997-04-30,665-16-3573,(303) 728-5720,m,O-,Peanuts
45492607,Ariel Dibernardo,1931-10-18,530-79-4586,(656) 974-8961,m,O+,
45492648,Joy Passarelli,1937-05-08,490-06-8812,(517) 854-2906,f,O-,Peanuts
45492575,Mirian Tully,1976-01-14,330-30-5276,(461) 427-1866,f,O+,
45492642,Henry Cardello,1975-12-08,379-24-9668,(847) 684-8414,m,B+,"Soy, Shellfish, Tree-nuts"
45492633,Meredith Piner,1988-06-12,244-85-2152,(290) 842-9876,f,AB-,
45492585,Manuel Maheu,1948-10-21,656-32-7661,(829) 935-4993,m,O+,"Peanuts, Shellfish"
45492600,Krissy Benavides,1926-02-24,501-44-9251,(860) 443-2949,f,A+,Soy
45492571,Blake Delavega,1981-03-25,394-16-7653,(842) 690-9313,m,B-,Eggs
45492604,Anderson Yokum,1974-07-31,652-26-7105,(872) 313-2369,m,AB-,"NSAIDs, Lactose"
45492623,Leanora Earnhardt,1959-02-19,313-50-7777,(455) 476-7409,f,A+,Soy
45492630,Caitlin Montelongo,1999-10-26,634-78-9217,(248) 314-2928,f,B+,"Latex, Peanuts"
45492562,Parker Mcgahan,1964-10-03,417-24-1786,(297) 496-8315,m,AB+,Lactose
45492584,Eddie Bien,1978-12-31,514-98-8405,(916) 663-5714,m,A+,Lactose
45492553,Nia Spengler,1972-04-26,528-58-4392,(416) 474-9356,f,AB-,"Nuts, Seasonal, Shellfish"
45492563,Shanel Giesler,1984-05-06,031-78-6036,(898) 278-7867,f,A-,"Seasonal, Tree-nuts"
45492638,Chrystal Scogin,1936-07-03,216-70-1373,(585) 777-5722,f,A+,
45492649,Mellisa Holzwarth,1926-09-08,222-88-0393,(326) 502-3681,f,A-,"Latex, Peanuts"
45492558,Hulda Ress,1976-04-07,520-24-7841,(283) 300-5684,f,A-,"Dog, Gluten"
45492579,Mayme Leech,1994-11-17,680-21-8781,(942) 951-4561,f,O+,Seasonal
45492592,Boyd Sellman,1923-11-29,694-05-9003,(333) 868-2720,m,B+,Peanuts
45492616,Solomon Schultheis,1969-07-01,503-15-0443,(917) 468-1713,m,B+,"Tree-nuts, Eggs, Seasonal, Lactose, Gluten, Shellfish, Peanuts, Strawberries, Soy"
45492635,Stanton Threet,1958-11-17,386-31-0658,(422) 595-3327,m,AB-,"Seasonal, Dog, Cat"
45492647,Christal Haughey,1931-06-02,387-17-7215,(984) 593-9845,f,O-,
45492589,Riley Shriner,1948-11-28,222-96-0071,(621) 267-3961,m,O-,"Seasonal, Nuts, Shellfish, Cat"
45492573,Gonzalo Quinley,1997-08-12,504-84-0016,(594) 866-2434,m,AB+,Seasonal
45492556,Stuart Catalano,2001-04-07,447-16-3658,(366) 736-3068,m,O-,Latex
45492612,Judi Commons,1994-11-24,215-86-3402,(806) 420-5672,f,AB-,Nuts
45492591,Olive Duquette,1963-04-15,175-82-0079,(991) 700-6755,f,O-,
45492624,Joann Keltner,1979-11-10,271-40-7109,(275) 863-6724,f,O+,"Gluten, Lactose, Shellfish"
45492608,Ria Maffei,1934-01-08,769-50-6688,(993) 569-4803,f,AB-,"Dog, Strawberries, Cat, Shellfish, Eggs, Lactose, Gluten, NSAIDs"
45492651,Cora Hardesty,1959-06-05,325-05-6701,(231) 702-3125,f,A+,Cat
45492610,Rico Tyree,1946-04-18,217-62-5774,(886) 395-9326,m,A-,Nuts
45492644,Lyndsey Stambaugh,1963-10-07,001-80-3483,(810) 249-4433,f,O-,"Eggs, NSAIDs, Dog, Seasonal, Gluten, Strawberries, Lactose, Tree-nuts, Cat, Peanuts"
